annee,soir,Ordre,Country,Pays,Artiste,Chanson,Langue,Place,Points,,,,annee,DF,Ordre,Country,Pays,Artiste,Chanson,Langue,Place,Points
2021,FI,17,Bulgaria,Bulgarie,VICTORIA,Growing Up Is Getting Old,Anglais,11,170,,,,,,,,,,,,,
2021,FI,1,Cyprus,Chypre,Elena Tsagrinou,El Diablo,Anglais,16,94,,,,,,,,,,,,,
2021,FI,13,Spain,Espagne,Blas Cantó,Voy a quedarme,Espagnol,24,6,,,,,,,,,,,,,
2021,FI,16,Finland,Finlande,Blind Channel,Dark Side,Anglais,6,301,,,,,,,,,,,,,
2021,FI,20,France,France,Barbara Pravi,Voilà,Français,2,499,,,,,,,,,,,,,
2021,FI,10,Greece,Grèce,Stefania,Last Dance,Anglais,10,170,,,,,,,,,,,,,
2021,FI,12,Iceland,Islande,Daði og Gagnamagnið,10 Years,Anglais,4,378,,,,,,,,,,,,,
2021,FI,3,Israel,Israël,Eden Alene,Set Me Free,Anglais,17,93,,,,,,,,,,,,,
2021,FI,24,Italy,Italie,Måneskin,Zitti e buoni,Italien,1,524,,,,,,,,,,,,,
2021,FI,18,Lithuania,Lituanie,The Roop,Discoteque,Anglais,8,220,,,,,,,,,,,,,
2021,FI,6,Malta,Malte,Destiny,Je me casse,Anglais,7,255,,,,,,,,,,,,,
2021,FI,14,Moldavia,Moldavie,Natalia Gordienko,SUGAR,Anglais,13,115,,,,,,,,,,,,,
2021,FI,22,Norway,Norvège,TIX,Fallen Angel,Anglais,18,75,,,,,,,,,,,,,
"2021,FI,23,The netherlands,Pays-Bas (hôte),Jeangu Macrooy,Birth of a New Age,""Anglais, sranan"",23,11,,,,,,,,,,,,,"
2021,FI,7,Portugal,Portugal,The Black Mamba,Love Is on My Side,Anglais,12,153,,,,,,,,,,,,,
2021,FI,9,United kingdom,Royaume-Uni,James Newman,Embers,Anglais,26,0,,,,,,,,,,,,,
"2021,FI,5,Russia,Russie,Manizha,Russian Woman,""Russe, anglais"",9,204,,,,,,,,,,,,,"
2021,FI,26,San marino,Saint-Marin,Senhit et Flo Rida,Adrenalina,Anglais,22,50,,,,,,,,,,,,,
2021,FI,8,Serbia,Serbie,Hurricane,Loco Loco,Serbe,15,102,,,,,,,,,,,,,
2021,FI,25,Sweden,Suède,Tusse,Voices,Anglais,14,109,,,,,,,,,,,,,
2021,FI,11,Switzerland,Suisse,Gjon's Tears,Tout l'Univers,Français,3,432,,,,,,,,,,,,,
"2021,FI,19,Ukraine,Ukraine,Go_A,""Shum"
"(Шум)"",Ukrainien,5,364,,,,,,,,,,,,,"
2020,FI,3,Australia,Australie,Montaigne,Don't Break Me,Anglais,,,,,,,,,,,,,,,
2020,FI,12,Azerbaijan,Azerbaïdjan,Efendi,Cleopatra,Anglais,,,,,,,,,,,,,,,
2020,FI,9,Belgium,Belgique,Hooverphonic,Release Me,Anglais,,,,,,,,,,,,,,,
"2020,FI,2,Belarus,Biélorussie,VAL,""Da vidna"
"(Да відна)"",Biélorusse,,,,,,,,,,,,,,,"
2020,FI,13,Cyprus,Chypre,Sandro,Running,Anglais,,,,,,,,,,,,,,,
2020,FI,11,Croatia,Croatie,Damir Kedžo,Divlji vjetre,Croate,,,,,,,,,,,,,,,
2020,FI,7,Ireland,Irlande,Lesley Roy,Story of My Life,Anglais,,,,,,,,,,,,,,,
"2020,FI,15,Israel,Israël,Eden Alene,""Feker Libi"
"(ፍቅር ልቤ)"",""Anglais, amharique"",,,,,,,,,,,,,,,"
2020,FI,6,Lithuania,Lituanie,The Roop,On Fire,Anglais,,,,,,,,,,,,,,,
2020,FI,4,North macedonia,Macédoine du Nord,Vasil,YOU,Anglais,,,,,,,,,,,,,,,
2020,FI,10,Malta,Malte,Destiny,All of My Love,Anglais,,,,,,,,,,,,,,,
2020,FI,14,Norway,Norvège,Ulrikke,Attention,Anglais,,,,,,,,,,,,,,,
2020,FI,16,Romania,Roumanie,ROXEN,Alcohol You,Anglais,,,,,,,,,,,,,,,
2020,FI,8,Russia,Russie,Little Big,Uno,Anglais,,,,,,,,,,,,,,,
2020,FI,5,Slovenia,Slovénie,Ana Soklič,Voda,Slovène,,,,,,,,,,,,,,,
2020,FI,1,Sweden,Suède,The Mamas,Move,Anglais,,,,,,,,,,,,,,,
"2020,FI,17,Ukraine,Ukraine,Go A,""Solovey"
"(Соловей)"",Ukrainien,,,,,,,,,,,,,,,"
2020,FI,12,Albania,Albanie,Arilena Ara,Fall from the Sky,Anglais,,,,,,,,,,,,,,,
2020,FI,14,,Arménie,Athena Manoukian,Chains on You,Anglais,,,,,,,,,,,,,,,
2020,FI,3,Austria,Autriche,Vincent Bueno,Alive,Anglais,,,,,,,,,,,,,,,
2020,FI,17,Bulgaria,Bulgarie,VICTORIA,Tears Getting Sober,Anglais,,,,,,,,,,,,,,,
2020,FI,11,Denmark,Danemark,Ben & Tan,YES,Anglais,,,,,,,,,,,,,,,
2020,FI,2,Estonia,Estonie,Uku Suviste,What Love Is,Anglais,,,,,,,,,,,,,,,
2020,FI,13,Finland,Finlande,Aksel,Looking Back,Anglais,,,,,,,,,,,,,,,
2020,FI,16,Georgia,Géorgie,Tornike Kipiani,Take Me as I Am,Anglais,,,,,,,,,,,,,,,
2020,FI,1,Greece,Grèce,Stefania,SUPERG!RL,Anglais,,,,,,,,,,,,,,,
2020,FI,9,Iceland,Islande,Daði og Gagnamagnið,Think About Things,Anglais,,,,,,,,,,,,,,,
2020,FI,18,Latvia,Lettonie,Samanta Tīna,Still Breathing,Anglais,,,,,,,,,,,,,,,
2020,FI,4,Moldavia,Moldavie,Natalia Gordienko,Prison,Anglais,,,,,,,,,,,,,,,
2020,FI,8,Poland,Pologne,Alicja,Empires,Anglais,,,,,,,,,,,,,,,
2020,FI,15,Portugal,Portugal,Elisa,Medo de sentir,Portugais,,,,,,,,,,,,,,,
2020,FI,5,San marino,Saint-Marin,Senhit,Freaky!,Anglais,,,,,,,,,,,,,,,
2020,FI,7,Serbia,Serbie,Hurricane,Hasta la vista,Serbe,,,,,,,,,,,,,,,
2020,FI,10,Switzerland,Suisse,Gjon's Tears,Répondez-moi,Français,,,,,,,,,,,,,,,
2020,FI,6,Czech republic,Tchéquie,Benny Cristo,Kemama,Anglais,,,,,,,,,,,,,,,
2020,FI,,The netherlands,Pays-Bas (hôte),Jeangu Macrooy,Grow,Anglais,,,,,,,,,,,,,,,
2020,FI,,Germany,Allemagne,Ben Dolic,Violent Thing,Anglais,,,,,,,,,,,,,,,
2020,FI,,Spain,Espagne,Blas Cantó,Universo,Espagnol,,,,,,,,,,,,,,,
"2020,FI,,France,France,Tom Leeb,Mon alliée (The Best In Me),""Français, anglais"",,,,,,,,,,,,,,,"
2020,FI,,Italt,Italie,Diodato,Fai rumore,Italien,,,,,,,,,,,,,,,
2020,FI,,United kingdom,Royaume-Uni,James Newman,My Last Breath,Anglais,,,,,,,,,,,,,,,
2019,DF,12,Australia,Australie,Kate Miller-Heidke,Zero Gravity,Anglais,1,261,,,,,,,,,,,,,
2019,DF,10,Belgium,Belgique,Eliot,Wake Up,Anglais,13,70,,,,,,,,,,,,,
2019,DF,8,Belarus,Biélorussie,Zena ,Like It,Anglais,10,122,,,,,,,,,,,,,
2019,DF,1,Cyprus,Chypre,Tamta,Replay,Anglais,9,149,,,,,,,,,,,,,
2019,DF,14,Estonia,Estonie,Victor Crone,Storm,Anglais,4,198,,,,,,,,,,,,,
2019,DF,3,Finland,Finlande,Darude feat. Sebastian Rejman,Look Away,Anglais,17,23,,,,,,,,,,,,,
2019,DF,11,Georgia,Géorgie,Oto Nemsadze,Keep on Going,Géorgien,14,62,,,,,,,,,,,,,
2019,DF,16,Greece,Grèce,Katerine Duska,Better Love,Anglais,5,185,,,,,,,,,,,,,
2019,DF,7,Hungary,Hongrie,Joci Pápai,Az én apám,Hongrois,12,97,,,,,,,,,,,,,
2019,DF,13,Iceland,Islande,Hatari,Hatrið mun sigra,Islandais,3,221,,,,,,,,,,,,,
2019,DF,2,,Monténégro,D mol,Heaven,Anglais,16,46,,,,,,,,,,,,,
"2019,DF,4,Poland,Pologne,Tulia,Fire of Love (Pali się),""Polonais, anglais"",11,120,,,,,,,,,,,,,"
2019,DF,15,Portugal,Portugal,Conan Osíris,Telemóveis,Portugais,15,51,,,,,,,,,,,,,
2019,DF,17,San marino,Saint-Marin,Serhat,Say Na Na Na,Anglais,8,150,,,,,,,,,,,,,
2019,DF,9,Serbia,Serbie,Nevena Božović,Kruna(Круна),Serbe,7,156,,,,,,,,,,,,,
2019,DF,5,Slovenia,Slovénie,Zala Kralj & Gašper Šantl,Sebi,Slovène,6,167,,,,,,,,,,,,,
2019,DF,6,Czech republic,Tchéquie,Lake Malawi,Friend of a Friend,Anglais,2,242,,,,,,,,,,,,,
2019,DF,14,Albania,Albanie,Jonida Maliqi,Ktheju tokës,Albanais,9,96,,,,,,,,,,,,,
2019,DF,1,,Arménie,Srbuk,Walking Out,Anglais,16,49,,,,,,,,,,,,,
2019,DF,9,Austria,Autriche,PÆNDA,Limits,Anglais,17,21,,,,,,,,,,,,,
2019,DF,18,Azerbaijan,Azerbaïdjan,Chingiz,Truth,Anglais,5,224,,,,,,,,,,,,,
"2019,DF,10,Croatia,Croatie,Roko,The Dream,""Anglais, croate"",14,64,,,,,,,,,,,,,"
"2019,DF,7,Denmark,Danemark,Leonora,Love Is Forever,""Anglais, français, danois"",10,94,,,,,,,,,,,,,"
2019,DF,2,Ireland,Irlande,Sarah McTernan,22,Anglais,18,16,,,,,,,,,,,,,
2019,DF,5,Latvia,Lettonie,Carousel,That Night,Anglais,15,50,,,,,,,,,,,,,
2019,DF,12,Lithuania,Lituanie,Jurij Veklenko,Run with the Lions,Anglais,11,93,,,,,,,,,,,,,
2019,DF,17,North macedonia,Macédoine du Nord,Tamara Todevska,Proud,Anglais,2,239,,,,,,,,,,,,,
2019,DF,11,Malta,Malte,Michela,Chameleon,Anglais,8,157,,,,,,,,,,,,,
2019,DF,3,Moldavia,Moldavie,Anna Odobescu,Stay,Anglais,12,85,,,,,,,,,,,,,
2019,DF,15,Norway,Norvège,KEiiNO,Spirit in the Sky,Anglais,7,210,,,,,,,,,,,,,
2019,DF,16,The netherlands,Pays-Bas,Duncan Laurence,Arcade,Anglais,1,280,,,,,,,,,,,,,
2019,DF,6,Romania,Roumanie,Ester Peony,On a Sunday,Anglais,13,71,,,,,,,,,,,,,
2019,DF,13,Russia,Russie,Sergueï Lazarev,Scream,Anglais,6,217,,,,,,,,,,,,,
2019,DF,8,Sweden,Suède,John Lundvik,Too Late for Love,Anglais,3,238,,,,,,,,,,,,,
2019,DF,4,Switzerland,Suisse,Luca Hänni,She Got Me,Anglais,4,232,,,,,,,,,,,,,
2019,FI,2,Albania,Albanie,Jonida Maliqi,Ktheju tokës,Albanais,17,90,,,,,,,,,,,,,
2019,FI,4,Germany,Allemagne,S!sters,Sister,Anglais,25,24,,,,,,,,,,,,,
2019,FI,25,Australia,Australie,Kate Miller-Heidke,Zero Gravity,Anglais,9,284,,,,,,,,,,,,,
2019,FI,20,Azerbaijan,Azerbaïdjan,Chingiz,Truth,Anglais,8,302,,,,,,,,,,,,,
2019,FI,19,Belarus,Biélorussie,Zena,Like It,Anglais,24,31,,,,,,,,,,,,,
2019,FI,11,Cyprus,Chypre,Tamta,Replay,Anglais,13,109,,,,,,,,,,,,,
"2019,FI,6,Denmark,Danemark,Leonora,Love Is Forever,""Anglais, français, danois"",12,120,,,,,,,,,,,,,"
2019,FI,26,Spain,Espagne,Miki,La venda,Espagnol,22,54,,,,,,,,,,,,,
2019,FI,18,Estonia,Estonie,Victor Crone,Storm,Anglais,20,76,,,,,,,,,,,,,
"2019,FI,21,France,France,Bilal Hassani,Roi,""Français, anglais"",16,105,,,,,,,,,,,,,"
2019,FI,13,Greece,Grèce,Katerine Duska,Better Love,Anglais,21,74,,,,,,,,,,,,,
2019,FI,17,Iceland,Islande,Hatari,Hatrið mun sigra,Islandais,10,232,,,,,,,,,,,,,
2019,FI,14,Israel,Israël (hôte),Kobi Marimi,Home,Anglais,23,35,,,,,,,,,,,,,
2019,FI,22,Italy,Italie,Mahmood,Soldi,Italien,2,472,,,,,,,,,,,,,
2019,FI,8,North macedonia,Macédoine du Nord,Tamara Todevska,Proud,Anglais,7,305,,,,,,,,,,,,,
2019,FI,1,Malta,Malte,Michela,Chameleon,Anglais,14,107,,,,,,,,,,,,,
2019,FI,15,Norway,Norvège,KEiiNO,Spirit in the Sky,Anglais,6,331,,,,,,,,,,,,,
2019,FI,12,The netherlands,Pays-Bas,Duncan Laurence,Arcade,Anglais,1,498,,,,,,,,,,,,,
2019,FI,16,United kingdom,Royaume-Uni,Michael Rice,Bigger than Us,Anglais,26,11,,,,,,,,,,,,,
2019,FI,5,Russia,Russie,Sergueï Lazarev,Scream,Anglais,3,370,,,,,,,,,,,,,
2019,FI,7,San marino,Saint-Marin,Serhat,Say Na Na Na,Anglais,19,77,,,,,,,,,,,,,
"2019,FI,23,Serbia,Serbie,Nevena Božović,""Kruna"
"(Круна)"",Serbe,18,89,,,,,,,,,,,,,"
2019,FI,10,Slovenia,Slovénie,Zala Kralj & Gašper Šantl,Sebi,Slovène,15,105,,,,,,,,,,,,,
2019,FI,9,Sweden,Suède,John Lundvik,Too Late for Love,Anglais,5,334,,,,,,,,,,,,,
2019,FI,24,Switzerland,Suisse,Luca Hänni,She Got Me,Anglais,4,364,,,,,,,,,,,,,
2019,FI,3,Czech republic,Tchéquie,Lake Malawi,Friend of a Friend,Anglais,11,157,,,,,,,,,,,,,
2018,DF,3,Albania,Albanie,Eugent Bushpepa,Mall,Albanais,8,162,,,,,,,,,,,,,
"2018,DF,16,Armenia,Arménie,Sevak Xanaghian,""Qami"
"(Քամի)"",Arménien,15,79,,,,,,,,,,,,,"
2018,DF,13,Austria,Autriche,Cesár Sampson,Nobody but You,Anglais,4,231,,,,,,,,,,,,,
2018,DF,1,Azerbaijan,Azerbaïdjan,Aisel,X My Heart,Anglais,11,94,,,,,,,,,,,,,
2018,DF,4,Belgium,Belgique,Sennek,A Matter of Time,Anglais,12,91,,,,,,,,,,,,,
2018,DF,8,Belarus,Biélorussie,Alekseev,Forever,Anglais,16,65,,,,,,,,,,,,,
2018,DF,10,Bulgaria,Bulgarie,Equinox,Bones,Anglais,7,177,,,,,,,,,,,,,
2018,DF,19,Cyprus,Chypre,Eleni Foureira,Fuego,Anglais,2,262,,,,,,,,,,,,,
2018,DF,12,Croatia,Croatie,Franka Batelić,Crazy,Anglais,17,63,,,,,,,,,,,,,
2018,DF,9,Estonia,Estonie,Elina Nechayeva,La forza,Italien,5,201,,,,,,,,,,,,,
2018,DF,15,Finland,Finlande,Saara Aalto,Monsters,Anglais,10,108,,,,,,,,,,,,,
"2018,DF,14,Greece,Grèce,Yiánna Terzí,""Óniró mou"
"(Όνειρό μου)"",Grec,14,81,,,,,,,,,,,,,"
2018,DF,18,Ireland,Irlande,Ryan O'Shaughnessy,Together,Anglais,6,179,,,,,,,,,,,,,
2018,DF,2,Iceland,Islande,Ari Ólafsson,Our Choice,Anglais,19,15,,,,,,,,,,,,,
2018,DF,7,Israel,Israël,Netta,Toy,Anglais,1,283,,,,,,,,,,,,,
"2018,DF,6,Lithuania,Lituanie,Ieva Zasimauskaitė,When We're Old,""Anglais, lituanien"",9,119,,,,,,,,,,,,,"
2018,DF,11,Macedonia,Macédoine,Eye Cue,Lost and Found,Anglais,18,24,,,,,,,,,,,,,
2018,DF,17,Switzerland,Suisse,Zibbz,Stones,Anglais,13,86,,,,,,,,,,,,,
2018,DF,5,Czech republic,Tchéquie,Mikolas Josef,Lie to Me,Anglais,3,232,,,,,,,,,,,,,
2018,DF,9,Australia,Australie,Jessica Mauboy,We Got Love,Anglais,4,212,,,,,,,,,,,,,
2018,DF,5,Denmark,Danemark,Rasmussen,Higher Ground,Anglais,5,204,,,,,,,,,,,,,
2018,DF,10,Georgia,Géorgie,Iriao,For You,Géorgien,18,24,,,,,,,,,,,,,
2018,DF,13,Hungary,Hongrie,AWS,Viszlát nyár,Hongrois,10,111,,,,,,,,,,,,,
2018,DF,14,Latvia,Lettonie,Laura Rizzotto,Funny Girl,Anglais,12,106,,,,,,,,,,,,,
2018,DF,12,Malta,Malte,Christabelle Borg,Taboo,Anglais,13,101,,,,,,,,,,,,,
2018,DF,7,Moldavia,Moldavie,DoReDoS,My Lucky Day,Anglais,3,235,,,,,,,,,,,,,
2018,DF,16,,Monténégro,Vanja Radovanović,Inje,Monténégrin,16,40,,,,,,,,,,,,,
2018,DF,1,Norway,Norvège,Alexander Rybak,That's How You Write a Song,Anglais,1,266,,,,,,,,,,,,,
2018,DF,8,The netherlands,Pays-Bas,Waylon,Outlaw in 'Em,Anglais,7,174,,,,,,,,,,,,,
2018,DF,11,Poland,Pologne,Gromee feat. Lukas Meijer,Light Me Up,Anglais,14,81,,,,,,,,,,,,,
2018,DF,2,Romania,Roumanie,The Humans,Goodbye,Anglais,11,107,,,,,,,,,,,,,
2018,DF,6,Russia,Russie,Ioulia Samoïlova,I Won't Break,Anglais,15,65,,,,,,,,,,,,,
2018,DF,4,San marino,Saint-Marin,Jessika feat. Jenifer Brening,Who We Are,Anglais,17,28,,,,,,,,,,,,,
2018,DF,3,Serbia,Serbie,Sanja Ilić & Balkanika,Nova deca,Serbe,9,117,,,,,,,,,,,,,
"2018,DF,17,Slovenia,Slovénie,Lea Sirk,""Hvala, ne!"",Slovène,8,132,,,,,,,,,,,,,"
2018,DF,15,Sweden,Suède,Benjamin Ingrosso,Dance You Off,Anglais,2,254,,,,,,,,,,,,,
2018,DF,18,Ukraine,Ukraine,Mélovin,Under the Ladder,Anglais,6,179,,,,,,,,,,,,,
2018,FI,12,Albania,Albanie,Eugent Bushpepa,Mall,Albanais,11,184,,,,,,,,,,,,,
2018,FI,11,Germany,Allemagne,Michael Schulte,You Let Me Walk Alone,Anglais,4,340,,,,,,,,,,,,,
2018,FI,16,Australia,Australie,Jessica Mauboy,We Got Love,Anglais,20,99,,,,,,,,,,,,,
2018,FI,5,Austria,Autriche,Cesár Sampson,Nobody but You,Anglais,3,342,,,,,,,,,,,,,
2018,FI,18,Bulgaria,Bulgarie,Equinox,Bones,Anglais,14,166,,,,,,,,,,,,,
2018,FI,25,Cyprus,Chypre,Eleni Foureira,Fuego,Anglais,2,436,,,,,,,,,,,,,
2018,FI,15,Denmark,Danemark,Rasmussen,Higher Ground,Anglais,9,226,,,,,,,,,,,,,
2018,FI,2,Spain,Espagne,Alfred & Amaia,Tu canción,Espagnol,23,61,,,,,,,,,,,,,
2018,FI,6,Estonia,Estonie,Elina Nechayeva,La forza,Italien,8,245,,,,,,,,,,,,,
2018,FI,17,Finland,Finlande,Saara Aalto,Monsters,Anglais,25,46,,,,,,,,,,,,,
2018,FI,13,France,France,Madame Monsieur,Mercy,Français,13,173,,,,,,,,,,,,,
2018,FI,21,Hungary,Hongrie,AWS,Viszlát nyár,Hongrois,21,93,,,,,,,,,,,,,
2018,FI,24,Ireland,Irlande,Ryan O'Shaughnessy,Together,Anglais,16,136,,,,,,,,,,,,,
2018,FI,22,Israel,Israël,Netta,Toy,Anglais,1,529,,,,,,,,,,,,,
2018,FI,26,Italy,Italie,Ermal Meta et Fabrizio Moro,Non mi avete fatto niente,Italien,5,308,,,,,,,,,,,,,
"2018,FI,4,Lithuania,Lituanie,Ieva Zasimauskaitė,When We're Old,""Anglais, lituanien"",12,181,,,,,,,,,,,,,"
2018,FI,19,Moldavia,Moldavie,DoReDoS,My Lucky Day,Anglais,10,209,,,,,,,,,,,,,
2018,FI,7,Norway,Norvège,Alexander Rybak,That's How You Write a Song,Anglais,15,144,,,,,,,,,,,,,
2018,FI,23,The netherlands,Pays-Bas,Waylon,Outlaw in 'Em,Anglais,18,121,,,,,,,,,,,,,
2018,FI,8,Portugal,Portugal (hôte),Cláudia Pascoal,O Jardim,Portugais,26,39,,,,,,,,,,,,,
2018,FI,9,United kingdom,Royaume-Uni,SuRie,Storm,Anglais,24,48,,,,,,,,,,,,,
2018,FI,10,Serbia,Serbie,Sanja Ilić & Balkanika,Nova deca,Serbe,19,113,,,,,,,,,,,,,
"2018,FI,3,Slovenia,Slovénie,Lea Sirk,""Hvala, ne!"",Slovène,22,64,,,,,,,,,,,,,"
2018,FI,20,Sweden,Suède,Benjamin Ingrosso,Dance You Off,Anglais,7,274,,,,,,,,,,,,,
2018,FI,14,Czech republic,Tchéquie,Mikolas Josef,Lie to Me,Anglais,6,281,,,,,,,,,,,,,
2018,FI,1,Ukraine,Ukraine,Mélovin,Under the Ladder,Anglais,17,130,,,,,,,,,,,,,
2017,DF,4,Albania,Albanie,Lindita,World,Anglais,14,76,,,,,,,,,,,,,
2017,DF,16,Armenia,Arménie,Artsvik,Fly with Me,Anglais,7,152,,,,,,,,,,,,,
2017,DF,3,Australia,Australie,Isaiah,Don't Come Easy,Anglais,6,160,,,,,,,,,,,,,
2017,DF,8,Azerbaijan,Azerbaïdjan,Dihaj,Skeletons,Anglais,8,150,,,,,,,,,,,,,
2017,DF,5,Belgium,Belgique,Blanche,City Lights,Anglais,4,165,,,,,,,,,,,,,
2017,DF,15,Cyprus,Chypre,Hovig,Gravity,Anglais,5,164,,,,,,,,,,,,,
2017,DF,7,Finland,Finlande,Norma John,Blackbird,Anglais,12,92,,,,,,,,,,,,,
2017,DF,2,Georgia,Géorgie,Tamara Gatchetchiladze,Keep the Faith,Anglais,11,99,,,,,,,,,,,,,
2017,DF,10,Greece,Grèce,Demy,This Is Love,Anglais,10,115,,,,,,,,,,,,,
2017,DF,13,Iceland,Islande,Svala,Paper,Anglais,15,60,,,,,,,,,,,,,
2017,DF,18,Latvia,Lettonie,Triana Park,Line,Anglais,18,21,,,,,,,,,,,,,
2017,DF,12,Moldavia,Moldavie,SunStroke Project,Hey Mamma!,Anglais,2,291,,,,,,,,,,,,,
2017,DF,6,,Monténégro,Slavko Kalezić,Space,Anglais,16,56,,,,,,,,,,,,,
2017,DF,11,Poland,Pologne,Kasia Moś,Flashlight,Anglais,9,119,,,,,,,,,,,,,
2017,DF,9,Portugal,Portugal,Salvador Sobral,Amar pelos dois,Portugais,1,370,,,,,,,,,,,,,
2017,DF,17,Slovenia,Slovénie,Omar Naber,On My Way,Anglais,17,36,,,,,,,,,,,,,
2017,DF,1,Sweden,Suède,Robin Bengtsson,I Can't Go On,Anglais,3,227,,,,,,,,,,,,,
2017,DF,14,Czech republic,Tchéquie,Martina Bárta,My Turn,Anglais,13,83,,,,,,,,,,,,,
2017,DF,2,Austria,Autriche,Nathan Trent,Running on Air,Anglais,7,147,,,,,,,,,,,,,
"2017,DF,14,Belarus,Biélorussie,NAVI,""Historyja majho žyccia"
"(Гісторыя майго жыцця)"",Biélorusse,9,110,,,,,,,,,,,,,"
2017,DF,15,Bulgaria,Bulgarie,Kristian Kostov,Beautiful Mess,Anglais,1,403,,,,,,,,,,,,,
"2017,DF,11,Croatia,Croatie,Jacques Houdek,My Friend,""Anglais, italien"",8,141,,,,,,,,,,,,,"
2017,DF,8,Denmark,Danemark,Anja Nissen,Where I Am,Anglais,10,101,,,,,,,,,,,,,
2017,DF,17,Estonia,Estonie,Koit Toome et Laura,Verona,Anglais,14,85,,,,,,,,,,,,,
2017,DF,7,Hungary,Hongrie,Joci Pápai,Origo,Hongrois,2,231,,,,,,,,,,,,,
2017,DF,9,Ireland,Irlande,Brendan Murray,Dying to Try,Anglais,13,86,,,,,,,,,,,,,
